RED1,RED2,OCCURRENCE,ISSUE
1,13,93,22037 21143 21120 21098 21089 20081 20037 20020 19145 19116 19100 19043 18115 18040 17141 17058 17038 16103 16052 15139 15094 15093 15077 15070 15069 15045 15039 14146 14121 14115 14110 14099 14084 14074 14072 13140 13112 13081 13064 13042 13009 13005 12149 12146 12137 12108 12039 12010 11102 11096 11013 11006 10140 10085 10082 10056 10038 10009 10004 09080 09075 08124 08073 08051 08045 08039 08028 08007 07134 07123 07109 07050 07014 06107 06102 06096 06089 06018 06016 05135 05120 05106 05068 05025 04107 04092 04067 04024 04011 03076 03052 03025 03010 
1,14,88,21141 21132 21106 21096 21045 21008 20132 20081 19147 19085 19066 19063 19037 19023 19014 18126 18111 18101 18090 18065 18053 18029 18003 17135 17125 17117 17104 17076 17070 17049 17035 17015 16089 16015 16003 15135 15115 14139 14100 14032 14025 13039 13035 13005 12048 11123 11114 11096 11051 11028 11021 10082 10076 10067 10054 10029 10014 09154 09136 09135 09077 09064 08075 08029 08006 07109 07071 07026 06152 06119 06018 05152 05144 05133 05122 05082 05080 05052 05030 04117 04116 04052 04023 03083 03081 03033 03027 03025 
1,15,72,22022 21096 21072 21070 21045 21032 20129 20100 20025 20020 19055 19023 18140 18132 18114 18067 17141 17110 17104 17077 17076 17049 17003 16137 16051 15144 15055 15039 14148 14139 14112 13150 13130 13104 13095 13067 13042 13039 13035 12130 12021 12001 11138 11114 11109 11077 11071 11051 11010 10130 10114 10090 10060 09139 09106 09075 09031 09023 09005 08094 08074 07123 06147 06143 06074 06001 05144 05135 05091 05084 05045 04052 
1,16,88,21134 21072 21070 21032 20100 20091 20040 19116 19104 19073 18114 18113 18087 18081 18003 17126 17090 17085 17080 16113 16080 16075 15138 15109 15094 15063 15056 15001 14148 14120 14112 14100 14073 14025 13150 13130 13066 13020 13019 13009 13002 12138 12021 12014 11144 11114 11109 11051 11028 11013 11006 10098 10087 10073 10038 10029 10028 10015 10013 10004 09149 09120 09077 08103 08094 08088 08006 07140 07135 07132 07115 07080 07060 07054 07026 07014 07005 06151 06111 06089 06013 05133 05044 05016 04096 04067 04009 03076 
1,17,82,22022 21104 21045 20037 19145 19104 19078 19066 19045 18153 18097 18010 18003 17138 17126 17077 17066 17018 17015 16142 16140 16113 16080 16077 15094 15073 15069 15007 14123 14067 13134 13123 13104 13066 13047 13035 13021 13010 12138 12137 12129 12032 12001 11116 11049 11037 11028 11007 10146 10127 10114 10087 10078 10058 10029 09144 09139 09075 09024 09021 09005 08088 08007 07149 06147 06111 06109 06107 06095 06084 06053 06018 06016 05052 05044 04114 04052 04030 04023 03070 03027 03010 
1,18,102,21124 21120 21098 21081 21073 21059 21024 21008 20127 20123 20092 20049 20038 20029 20026 19145 19110 19104 19085 19073 19037 19023 18087 18067 18050 18040 18016 17135 17067 17023 16095 16044 16039 15139 15135 15069 15060 15056 15055 14094 14067 14056 13134 13002 12021 11072 11049 11021 11011 11006 10148 10146 10140 10112 10060 10059 10022 10013 09154 09149 09144 09106 08153 08130 08129 08103 08092 08075 08072 08064 08006 07136 07134 07095 07080 07054 07050 07045 07018 07016 07008 06140 06109 06100 06096 06089 06026 05133 05120 05119 05088 05073 05045 05044 04107 04090 04045 04027 04015 03083 03076 03070 
1,19,94,22022 21141 21134 21133 21072 21067 21065 21010 20127 20123 20091 20085 20083 20070 20058 20040 20026 19145 19113 19079 19071 19063 19055 19045 19014 19006 18115 18050 18049 17146 17110 17075 17066 16145 16139 16103 16101 16085 16077 16052 16039 15138 15113 15112 15076 15070 15055 15020 14110 14091 14085 14072 14070 14012 14004 13134 13095 13062 13021 12138 12108 12091 12010 11123 11096 11011 11010 10105 10058 10052 09135 09101 08128 08074 08050 07153 07149 07080 07060 07008 06140 06102 06089 06074 06001 05144 05084 05082 04033 04023 03085 03070 03062 03007 
1,20,94,22037 22007 21143 21132 21104 20115 20100 20096 20029 20025 19066 19035 18140 18114 18107 18097 18096 18081 18056 18048 18010 18003 17104 17084 17080 17049 17030 16148 16145 16125 16113 16085 16077 16016 15121 15112 15072 15056 15015 15007 15001 14146 14139 14094 14073 14056 13066 13019 12133 12130 12121 12120 12008 11111 11029 10117 10073 09106 09093 09075 09072 08128 08085 08074 07153 07115 07061 07018 07016 07014 06153 06152 06143 06119 06115 06102 06095 06021 05121 05119 05088 05084 05082 05073 05045 04107 04096 04090 04056 04033 03076 03062 03033 03023 
1,21,81,22044 21072 21036 20070 20064 20040 19113 19101 18056 18043 18010 17126 17117 17103 17075 16142 16099 16085 15121 15118 15093 15072 15070 15010 14112 14012 13140 13081 13027 13020 12138 12133 12129 12127 12091 12015 12004 11102 11070 11013 11011 10138 10130 10105 10067 10066 10015 10009 09072 09070 09005 08153 08124 08071 08058 08045 08028 07140 07136 07132 07087 07071 07045 07018 06130 06095 06084 06021 06013 06001 05152 05135 05090 05040 05027 04114 04084 04056 04024 03007 03006 
1,22,105,22037 22031 22007 21124 21104 21081 21073 20119 20113 20092 20049 20020 19134 19110 19066 19063 19009 18140 18132 18126 18107 18034 18029 18010 17090 17084 17080 17077 17070 17062 17058 17023 16020 16016 16015 15128 15073 15063 15054 15045 15035 15031 15020 14121 14036 14032 14004 13140 13112 13096 13067 13064 13062 13002 12130 12048 12039 12032 12021 11071 11013 10146 10117 10115 10100 10066 10060 10029 09149 09136 08152 08124 08103 08075 08073 08072 08039 08037 08029 08007 08006 07149 07143 07140 07132 07016 06151 06130 06111 06089 06058 06026 06021 05119 05044 05030 05018 05004 04114 04028 04020 04015 04009 04008 03023 
