RED1,RED2,OCCURRENCE,ISSUE
3,33,70,22040 21117 20045 19135 19117 19068 19047 19031 19022 19014 18134 18120 18101 18011 17054 16149 16117 16101 16088 16031 15132 15053 14103 14060 13151 13130 13127 13118 13111 13053 13031 12093 12034 11109 11064 10098 10002 09146 09145 09135 09134 09094 09031 09024 08141 08117 08043 08016 07133 07125 07108 07099 07051 07042 07023 07011 07004 06131 06121 06078 06074 06068 06017 05137 05115 05094 04116 04003 03088 03047 
4,5,69,21122 21121 21074 21063 20093 20023 20011 20006 19087 19059 19057 19030 19017 19010 19002 18105 17134 17123 17007 16150 16106 16060 14151 14065 14054 13141 13121 13102 13036 13024 13014 12153 12104 12067 12001 11149 11123 11103 11087 11073 11052 11050 11028 11010 10026 10025 09140 09081 09071 09021 08086 08079 08012 07087 07008 06122 06087 06063 06055 06003 05153 05096 05043 05006 04078 03087 03040 03035 03011 
4,6,91,21132 21114 21091 21078 21064 21063 21052 21024 20121 20086 20070 20008 19134 19132 19067 19057 19050 19002 18143 18129 18065 18059 18054 18045 18043 18021 17143 17123 17113 17066 17019 15116 15094 15036 14138 14089 14040 14022 14017 13152 13136 13131 13125 13121 13114 13102 13075 13017 12137 12075 12055 11149 11141 11136 11105 11066 11063 11057 11037 11004 09150 09121 09081 09045 09015 08152 07141 07102 07078 07059 07031 06151 06133 06122 06121 06086 06019 06010 06003 05140 05127 05116 05093 05058 05043 05027 03064 03060 03040 03005 03004 
4,7,76,22013 22012 21145 21142 21113 21106 21009 20067 20017 20011 19129 19087 19059 19030 18094 18080 18026 17148 17100 17042 17034 16111 16036 15144 15114 15074 15028 15022 15020 15009 15008 14038 14022 14017 14006 13133 13121 13113 13022 12096 12073 12056 12029 11149 11096 11093 10111 10025 09150 09138 09111 09088 09040 08109 08084 08001 07122 07110 07109 07078 07065 07059 07022 06036 06029 05153 05140 05122 05103 05053 05043 05038 04118 04059 04016 03004 
4,8,80,22012 21114 21065 21064 21021 20104 20074 19084 19067 19057 19032 19010 19002 18060 18059 18043 17102 17100 17076 17059 17038 17034 17020 17019 17006 17003 16091 16078 16056 14151 14065 14034 13125 13102 13100 13089 13054 12022 11147 11062 11052 11004 10129 10127 10111 10108 10026 09085 09013 08082 08051 08004 07109 07102 07097 07087 07072 07035 07032 07015 06148 06122 06087 06065 06017 06004 05140 05116 05071 05070 05043 05015 05004 04092 04084 04033 04016 03064 03035 03019 
4,9,82,21083 21074 21063 21061 20120 20103 20074 20067 20050 20026 20002 19140 19129 19124 19114 19101 19087 19059 19032 19002 18083 18070 18067 17143 17076 17059 17053 16150 16128 16051 16045 16036 16026 16022 15114 15041 14045 14044 14014 13103 13075 13067 13036 13022 13009 12104 12103 12083 12080 12073 12001 11107 11062 11029 11010 10152 10101 09084 09056 09043 09013 08118 08114 08109 08042 08001 07001 06138 06131 06112 06087 06029 05118 05100 05076 05028 05015 05004 04053 04043 04033 03002 
4,10,89,22032 22026 22013 21145 21113 21034 21024 20120 20104 20103 20093 20059 20047 20008 20006 19146 19122 19115 19050 19030 18090 18085 18053 18050 17115 17102 17067 17042 17041 17020 16144 16131 15051 15028 15022 15008 14086 14065 14031 14022 13126 13081 13040 12104 12073 12067 11152 11103 11062 11041 11029 11004 10136 10135 10043 10025 09121 09110 09108 09067 09056 09043 09040 08093 08086 08082 08079 08051 07134 07118 07088 07031 07022 07001 06144 06086 06076 06036 05132 05081 05066 05058 05053 05031 04078 04043 04026 03035 03004 
4,11,78,22032 21083 21049 21024 21010 20132 20106 20037 20008 19140 19132 19115 19114 19067 19050 19018 19010 18133 18053 18049 18021 17148 17134 17123 17115 17101 17053 17027 17023 16128 16059 16056 16025 15118 15117 15052 15041 14151 14135 14054 14045 14040 13113 13100 13086 13026 12153 12103 12096 12082 11152 11093 10128 10102 10058 09140 09088 09084 08126 08042 07069 07033 07019 06138 06127 05151 05127 05076 05066 05038 04084 04059 04037 03085 03035 03032 03015 03011 
4,12,79,21122 21121 21101 21088 21061 21034 21007 20132 20115 19146 19114 19103 19100 19030 18133 18067 18026 17039 17020 17019 16144 16084 16059 16045 16026 16025 16010 15117 14086 14071 14068 14057 14040 13133 13131 13089 13040 13027 13017 12049 12046 12024 12022 11152 11147 11073 11041 11019 09113 09085 08126 08093 08085 08082 08077 08042 07069 07035 07031 07007 06148 06087 06010 05151 05140 05118 05112 05081 05071 04118 04096 04007 04006 03085 03077 03064 03040 03019 03011 
4,13,71,21049 20093 20074 20037 20012 19100 19057 19032 18105 18080 18060 18059 18025 17046 17041 17038 16150 16141 16106 16035 15114 15094 15044 14138 14135 14068 13103 13086 13082 13081 13024 13009 12137 12077 12059 12055 12049 11103 11096 11093 11063 11047 11043 11041 11004 10135 10111 10045 10025 09110 09011 08084 08051 07134 07109 07097 07072 06148 06144 06112 06102 06023 06022 06019 05151 05134 04092 04011 03051 03019 03004 
4,14,93,22032 21145 21132 21114 21106 21074 21068 21045 20132 20012 20002 19140 19132 19115 19103 19089 19085 19084 19060 18152 18090 18065 18053 18026 17148 17143 17134 17102 17076 17046 17039 17027 16147 16111 16091 16010 15044 15011 15009 14089 14086 14017 13152 13136 13100 13094 13091 13082 13054 13026 12103 12083 12080 12056 12011 11145 11123 11121 11120 11096 11066 11043 11028 10129 09138 09136 09132 09111 09011 08126 08080 08001 07109 07099 07079 07072 07069 07049 07026 07009 06029 06023 05134 05128 05127 05122 05116 05100 05071 05070 05053 04026 03040 
4,15,74,22026 22009 21129 21122 21088 21078 21064 21048 21045 21014 20106 20093 20086 20017 20002 19129 19122 19115 18143 18070 18067 17077 17076 17059 17053 17041 17003 16141 16111 16051 15144 15116 15095 15011 14040 13138 13104 13067 13026 13022 12083 12080 12053 12029 12011 12001 11145 11103 11063 11010 10109 10027 09132 09111 09110 09088 09043 09015 09008 08094 07110 07009 07007 06147 06128 06112 06063 05118 05116 05105 05006 03064 03051 03005 
4,16,75,21145 21121 21091 21088 21064 20104 20006 20002 19089 19059 19053 18152 18129 18094 18070 18025 17113 16056 15094 15052 15044 15036 15022 15008 14031 13152 13138 13136 13102 13100 13086 13009 12096 12080 12031 12027 12011 12009 11107 11103 11065 11028 11016 10102 10061 10015 09150 09088 09067 09008 08118 08109 08094 08093 08012 07118 07047 07032 07026 07019 06151 06144 06036 06022 06007 06003 05103 05100 05071 05070 05031 05015 04096 03077 03019 
4,17,79,22009 21142 21048 21045 21021 20059 20050 20047 20037 20011 17077 17066 17039 16141 16128 16045 16025 15094 15041 15036 15011 15009 14089 14071 14031 14006 13137 13131 13114 13113 13104 13040 13014 12137 12073 12056 12001 11147 11120 11107 11073 11066 11043 11037 11028 11016 10152 10127 10111 10099 10058 10051 09108 09088 09085 09021 09015 07141 07033 07007 06147 06138 06127 06076 06065 06057 06036 06025 06004 05140 05096 05093 05015 04037 04007 03070 03060 03051 03005 
4,18,81,22013 21122 21068 21064 21061 21034 21024 20127 20106 20026 20011 19085 19084 19059 19057 19018 19002 18133 18129 18120 18106 18105 18093 18083 18067 18054 18050 17102 17100 17067 17023 16147 16131 16084 16056 15117 15011 14057 13152 13136 13125 13103 13094 12082 12077 11147 11140 11087 11063 10111 10109 10101 09140 09056 09055 09043 09011 08153 08002 07146 07134 07118 07113 07102 07097 07049 07047 07033 07022 07015 07008 06138 06057 06007 05134 05132 05103 05096 04026 04006 03070 
4,19,84,22009 21142 21088 21065 21052 21010 20127 20093 20074 20070 20047 20026 19132 19122 19028 19018 18129 18106 18105 18070 18050 18049 18033 18025 17098 17066 17059 17034 16131 16035 16022 16010 15020 14045 14014 14004 13137 13133 13131 13126 13089 13014 12104 12071 12049 12046 12024 11141 11123 11096 11063 11052 11050 11019 11010 10128 10061 10058 10043 10026 09152 09150 09110 08150 07153 07122 07065 07049 07031 07008 06135 06127 06102 06029 06025 06023 06010 05151 04059 04033 03085 03070 03015 03002 
4,20,68,21142 21132 21061 20115 20050 20023 20017 19119 19089 19084 19060 18094 18093 18080 18033 17143 17102 16059 16036 16035 15011 15008 14082 13103 13100 13094 13082 13022 13014 12120 12055 12049 12046 12011 11140 11136 11057 11029 10128 10108 10102 10045 09150 09113 09085 09084 09040 08126 08114 08085 08084 08079 08012 07153 07102 07079 07001 06133 06102 06003 05038 05031 04096 04037 04033 04007 04006 03002 
4,21,74,21129 21052 21014 21007 20121 20070 20023 19122 19103 19101 19087 19050 18093 18083 18043 18025 17123 16150 16141 15118 15114 15095 15074 15041 15009 14151 14044 14031 14022 14006 14002 13114 13089 13081 13054 13032 13027 12153 12071 12067 12059 12024 11152 11073 11057 10152 10101 10015 09152 09132 09013 09001 08153 08109 08082 07087 07079 07065 06135 06128 06076 06063 06057 06036 05153 05104 05058 05027 05006 04084 04078 04043 03060 03002 
4,22,85,22026 21121 21113 21101 21049 21048 20103 20059 19140 19134 19119 19089 19053 19030 19028 18059 18054 18033 17098 17077 17041 17023 16106 16091 16060 16036 16022 15020 15008 14071 14068 14065 14045 14038 14014 14004 13133 13094 13082 13067 13026 12082 12075 12071 12059 12053 12031 12027 11140 11136 11121 11107 11050 11016 10102 10061 10043 10026 09140 09136 09124 09055 09008 08152 08150 08080 08077 08004 08002 07146 07015 07007 06151 06144 06135 06131 06122 06019 05112 05076 05071 05028 05004 04043 03077 
4,23,74,22032 21063 21061 21034 20132 20067 20012 19122 19060 19050 18152 18090 18049 18021 17100 17046 17042 17019 16091 16078 16022 15118 15116 15106 15022 15020 14057 14038 14002 13137 13114 13024 13009 12075 12071 12046 11149 11105 11093 11065 11047 10136 10108 10051 10015 09132 09124 09071 09067 09045 09011 09001 08094 08004 07113 07078 07047 07019 06148 06135 06063 06023 05128 05127 05105 05104 05103 05093 05031 05004 04059 04011 04006 03040 
4,24,66,22026 21142 21114 21091 21068 21063 21021 21009 20086 20037 19119 19085 19017 18106 18094 18043 17100 17039 17038 17007 16141 16084 16025 15051 14038 14004 13138 13137 13113 13091 13027 12120 12070 12055 12031 12022 12009 11141 10136 10128 10108 10099 09055 09021 09001 08153 08150 08137 08114 08085 08042 07146 07122 07110 07032 06122 06102 06086 06063 06025 04078 04053 04043 03087 03077 03051 
4,25,94,22009 21083 21074 21049 21034 21014 21009 21007 20121 20115 20059 19053 18106 18105 18085 18060 18054 18045 18025 17115 17059 17019 16131 16106 16059 16010 15074 15052 15041 15022 15009 14135 14082 14071 14034 14017 14014 14004 13141 13133 13125 13121 13091 13089 13075 13032 12053 12029 12027 12024 11121 11105 11065 11047 11043 11037 10152 10135 10129 10127 10109 10101 10027 10025 09121 09113 09111 09081 08114 08080 08002 07153 07134 07118 07113 07079 07078 07065 07009 07008 06133 05127 05093 05076 05066 05058 05028 04084 04053 04007 03077 03032 03015 03004 
4,26,89,21145 21091 21088 21078 20127 20012 19129 19119 19028 19018 18120 18106 18085 18045 18026 17066 17046 17007 17006 16128 16084 16078 16060 16035 15117 15116 15114 15074 15052 15051 15036 15028 14082 14022 14017 13136 13131 13086 12083 12077 12067 12059 12056 12029 12022 12011 12009 11152 11145 11057 11004 10136 10135 10101 10061 10027 09138 09071 09043 09040 09013 08152 08093 08086 08082 08077 07146 07122 07113 07097 07026 07001 06138 06131 06086 06019 05153 05134 05118 05096 05081 05070 05058 05028 04078 04059 04037 03015 03002 
4,27,72,21129 21114 21113 21078 21074 20104 20086 20067 20017 19103 19084 19060 18120 18070 18053 17113 17098 17041 17038 17027 17003 16144 16131 16128 15028 14151 14089 14068 14044 14031 14006 13138 13137 13126 13121 13036 13024 12153 12080 12073 12053 12031 12022 12009 11140 11105 11065 11052 11047 10099 10051 09152 09021 09013 08118 08086 08004 07099 07022 07009 06147 06121 06022 06010 06007 06004 05132 05053 05038 03085 03051 03032 
4,28,79,22009 21132 21129 21122 21083 21021 20106 20103 20047 20008 19032 19017 18152 18143 18065 18033 18021 17134 17101 16147 16091 16059 16026 15144 15116 15095 15051 15028 14044 13138 13125 13104 13091 13054 12153 12120 12104 12077 12055 12029 12024 11123 11120 11105 11087 11052 11050 10129 10128 10051 10043 10015 09152 09124 09113 09108 09067 08137 08109 08094 08093 07110 07088 07033 06065 06055 06023 06004 05112 05076 05066 05038 04092 04026 04016 04011 04007 03087 03060 
4,29,84,22012 21129 21101 21065 21048 21014 20121 20104 20011 20002 19134 19115 19103 19085 19053 19028 18152 18093 18080 17148 17143 17113 17067 17053 17006 16078 16060 16035 15074 14138 14082 14068 14054 14014 13152 13036 13032 12120 12096 12082 12075 11141 11140 11107 11065 11062 11050 11016 10109 10102 10058 10045 09113 09081 09056 09055 08150 08137 08085 08084 08080 08004 08002 08001 07088 07059 07035 07026 07019 06148 06144 06133 06076 06065 06055 06010 05153 05132 05128 05112 05093 05053 05015 03032 
4,30,97,22012 21121 21113 21106 21052 20067 20023 19146 19134 19124 19114 19100 19087 19067 19028 19017 19010 18094 18085 18060 18045 17115 17098 17027 16106 16045 16026 16025 16022 15095 14089 14086 14054 13141 13082 13075 13067 13040 13032 13024 13017 12067 12027 11147 11145 11120 11093 11066 11062 11041 10135 10099 10027 09136 09132 09124 09121 09110 09085 09081 09067 09045 09040 09001 08153 08152 08126 08086 08084 08077 08012 07146 07097 07047 07032 07015 06128 06127 06087 06065 05151 05134 05122 05116 05112 05105 05104 05103 05081 04118 04096 04016 04011 03064 03032 03011 03005 
4,31,72,22012 21106 21101 21078 21068 20127 20026 20012 19124 19101 19053 18060 17123 17115 17101 17053 17020 16147 15118 15106 15095 14138 14057 14034 14002 13141 13126 13091 13081 13036 13026 13017 12070 12059 12056 12031 12027 11149 11136 11043 11029 10152 09071 09001 08118 08114 07153 07141 07113 07099 07065 07049 07035 07031 07019 06147 06135 06133 06128 06121 06112 06086 06057 06055 06017 06004 05118 05100 05006 04118 04092 03005 
4,32,83,22032 21068 21049 21048 21045 21010 21009 21007 20115 20103 20050 20047 20006 19146 19124 19100 19018 18143 18133 18083 18059 18026 17148 17134 17101 17046 17034 17003 16147 16144 16111 16060 16045 15144 15117 15106 15051 14002 13017 12103 12075 12070 12049 11121 11066 11041 11019 10129 10109 10051 09138 09108 09084 09071 09056 09045 09015 09008 08150 08080 08079 07122 07118 07078 07069 07032 07007 06076 06025 06019 06017 06007 05122 05105 05043 05031 05028 05027 04026 04016 04006 03015 03011 
4,33,86,21091 21083 21065 21021 21014 21010 20074 20050 20023 19132 19124 19119 19101 19067 19032 19017 18143 18120 18093 18085 18083 18080 18065 18054 18033 17113 17098 17034 17020 17007 17006 16144 16051 16026 15036 14138 14135 14044 14038 14002 13126 13114 13113 13075 13032 12103 12096 12083 12053 12046 12009 11121 11120 11057 11047 11019 10136 10127 10043 09140 09138 09136 09108 09084 09008 08137 08118 08077 08051 07102 07099 07088 07072 07049 06131 06128 06121 06112 06055 06017 06007 05128 05105 05104 05096 03019 
5,6,83,22019 21112 21090 21085 21063 21057 20116 20099 20028 20016 19057 19040 19002 18127 18084 18071 18063 18052 17129 17123 17099 17086 17085 16129 16120 16061 16055 16017 15151 15086 15038 14144 14132 14095 14083 14078 14026 13129 13121 13120 13102 13083 13061 13033 13016 13015 13013 12134 12118 12052 12042 12018 11149 11118 10131 10120 10088 10020 10005 09126 09109 09081 09018 08142 08070 08018 07005 07002 06122 06013 06009 06003 05138 05124 05102 05057 05043 05016 04074 04018 04003 03059 03040 
5,7,89,22041 21085 21084 21044 21038 21027 21008 20073 20055 20018 20011 19096 19093 19087 19059 19035 19030 19021 19016 19013 18127 18122 18051 17151 17091 17078 17045 17033 16110 16024 15122 15113 15110 15091 15046 15037 15031 15027 14128 14118 14010 13144 13121 13101 13084 13061 13060 13015 12154 12146 12135 12134 12118 12100 12091 11149 11032 11024 11014 10094 10031 10025 10008 10006 09109 09102 09078 09057 09020 08154 08119 08117 08076 08068 08044 08017 07131 07129 07116 07012 06054 06028 06011 05153 05047 05043 03042 03038 03014 
5,8,76,21080 21032 20056 20018 20016 19093 19075 19057 19021 19010 19002 18142 18112 18084 17149 17065 17048 17047 17032 17016 17010 16132 16129 16102 16061 16047 16017 15151 15129 15123 15113 15086 15067 15066 14151 14129 14128 14095 14065 14059 14010 13102 12141 12135 12097 12091 11153 11052 10118 10026 10005 09128 09102 09058 09022 08127 08069 07087 07086 07050 06122 06087 06011 06009 05141 05047 05043 04116 04032 04018 03063 03038 03035 03017 03014 03008 
5,9,86,21102 21084 21074 21063 21057 21046 21042 21038 21027 20085 20060 20031 19093 19087 19059 19040 19035 19016 19002 18096 18077 18052 18044 18008 17154 17151 17132 17129 17051 17048 16150 16104 16095 15123 15027 14144 14129 14090 14078 14043 14013 13101 13084 13036 12128 12104 12023 12001 11153 11010 10116 10075 09143 09133 09117 09022 08148 08136 08119 08063 08044 08034 07130 07073 07017 07003 06096 06087 06020 06008 05130 05094 05083 05061 05030 05024 05005 04103 04094 04027 04021 03063 03054 03044 03009 03008 
5,10,85,22042 22016 21149 21147 21140 21042 21011 20093 20006 19094 19035 19030 19006 18142 18087 18064 18063 18009 18008 17137 17111 17097 17091 17065 17060 17047 17036 17021 16102 16055 15046 14144 14117 14099 14065 14025 13129 13060 12104 12081 12067 12064 12004 11153 11103 11092 11024 11014 10120 10116 10113 10025 09144 09126 09101 09074 09058 09057 09022 09020 08144 08142 08136 08117 08086 08079 08072 07115 07093 07020 07017 06059 06054 05129 05124 05097 05057 04099 04094 04078 04028 04027 04019 03042 03035 
5,11,80,22042 22028 21147 21093 21085 21084 21070 20114 20099 20073 20018 19117 19016 19010 18142 18137 18127 18064 18034 17151 17134 17123 17084 16104 15132 15129 15122 15066 15038 14151 14109 14099 14090 14054 14026 13099 13090 13084 13044 13015 12153 12135 12064 12042 12004 11118 11040 11014 10118 10057 09145 09143 09140 09114 09063 09022 09012 08076 08063 08034 07150 07130 07116 07098 07090 07073 07066 07057 07003 06149 06071 05138 04060 04032 04021 04019 03067 03035 03025 03011 
5,12,70,22033 21122 21121 21090 20125 20099 20079 20056 20007 19096 19094 19030 18130 18107 18088 18084 18044 18008 17065 16095 16007 15136 15124 15123 15038 15037 14148 14091 14069 14059 13144 13140 13083 13071 13061 13016 12154 12128 12126 12118 12016 11132 11073 11070 10075 10057 09134 09114 09078 09069 09039 09007 08136 08070 08061 07114 07003 06105 06087 06071 06043 06013 05152 05141 05016 04017 03086 03067 03040 03011 
5,13,77,21147 21144 21046 21026 20093 20081 20073 19143 19057 18108 18105 18071 17154 17132 17130 17086 17060 17004 16150 16132 16106 16103 15125 15045 14099 14059 14033 14013 13140 13120 13061 13060 13033 13024 13015 13013 12149 12146 12134 12097 12039 11132 11103 11102 11078 11042 11032 11006 10118 10075 10071 10041 10031 10025 10008 10006 09133 08142 08112 08076 08065 07150 07093 07090 07050 06096 06073 06061 06043 05135 05109 05054 04094 04076 04066 03067 03025 
5,14,81,22019 21090 21085 21074 21044 21008 20116 20081 20060 19095 19013 18116 17134 17130 17129 17081 17048 16102 16043 16024 16007 15134 15046 15038 14132 14095 14080 14060 14043 14025 14008 13129 13097 13083 13016 12151 12097 12048 12037 11148 11123 11118 11090 11040 11032 11028 10071 10029 10020 10006 09109 09102 09078 09057 09039 09012 08135 08117 08112 08063 08032 07086 07002 06113 06105 06028 06011 05152 05136 05129 05102 05083 05061 05030 05024 04116 04017 03063 03040 03025 03008 
5,15,81,21149 21144 21122 21102 21093 21070 21032 20129 20099 20093 20031 20028 19143 18151 18137 18127 18077 18057 18052 17154 17149 17051 17048 17033 17032 16047 14148 14132 14118 14109 14066 14013 13119 12126 12118 12100 12023 12001 11138 11103 11042 11032 11010 10131 10118 10113 10088 10075 10008 09145 09139 09134 09128 09117 09078 09058 09039 08135 08119 08070 08065 08005 07114 07093 07082 07013 06149 06105 06063 06060 06059 05135 05130 05109 05057 05032 05006 04074 04032 04017 03042 
5,16,74,22003 21140 21121 21070 21038 21032 21027 21011 20125 20116 20031 20006 19143 19104 19059 19013 18087 18071 18063 17099 17085 17045 17016 16114 16072 16055 15129 15122 15110 15086 15027 14148 14134 14080 14025 14008 13102 13019 12154 12064 12014 11112 11103 11028 11006 10131 10029 09128 09074 08135 08063 08032 08012 07140 07131 07115 07066 07020 07005 06116 06073 06069 06043 06028 06013 06003 05141 05136 05083 05016 04103 03086 03044 03018 
5,17,79,22003 21128 21117 21057 21044 20018 20016 20011 20007 19104 18130 18116 18064 18057 18044 18009 18008 17111 17004 16140 16102 16047 15110 15091 15066 14131 14128 14117 14080 14078 14069 14066 14013 13097 13078 13033 13014 12135 12085 12068 12016 12001 11092 11073 11042 11028 10071 10029 10005 09144 09143 09139 09116 09057 09021 09012 08142 08105 08069 08068 08063 08026 08017 07116 07082 06113 06109 06078 06061 06059 06028 05109 05096 05054 05034 04076 04021 04003 03008 
5,18,87,22003 21149 21122 21081 21038 21008 20028 20011 19104 19097 19096 19094 19059 19057 19040 19013 19002 18130 18112 18108 18105 18087 17154 17097 17078 16104 16095 16061 16058 16024 15129 15124 15086 15037 14132 14128 14118 14066 14060 13120 13078 13061 13044 13015 12142 12100 11112 11090 11087 11006 10113 10008 10006 10005 09144 09140 09133 09069 09022 09012 08136 08076 08072 08070 07125 07094 07082 07057 07050 07013 07008 06113 06109 06096 06073 06032 06008 05136 05096 05054 05034 04027 04015 03086 03059 03017 03009 
5,19,86,22033 22016 22004 21149 21026 20116 20093 20085 19113 19095 19094 19016 19006 18151 18105 18071 18057 18008 17111 17097 17078 17048 17010 16132 16103 16072 15134 15113 15091 14109 14091 14090 14083 14069 13144 13083 13060 13033 13014 13013 12141 12104 12097 12093 12091 12057 12042 12037 11123 11052 11050 11042 11024 11010 10131 10057 10041 10026 09126 09101 09074 09020 09018 08135 08128 08127 08112 08105 08065 08026 07150 07098 07094 07093 07073 07057 07008 06071 06061 06060 05141 05124 05089 05032 04074 03018 
5,20,88,22028 22019 22016 21128 21085 21027 21026 20079 20060 20023 20007 19093 19075 19035 19021 18137 18122 18107 18096 18077 18063 18057 18051 17149 17137 17086 17084 17045 17033 16114 16061 16058 16043 16017 16007 15072 14129 14010 13119 13099 13084 13060 13019 13014 12145 12141 12052 11153 11118 11111 11078 10116 10113 10071 09133 09078 08128 08079 08069 08044 08017 08012 07129 07125 07115 07098 07057 07020 07002 06105 06072 06069 06032 06021 06009 06003 05138 05130 05129 05089 05055 05032 05005 04066 03061 03042 03018 03009 
5,21,82,22042 22041 22019 21128 21117 21112 21084 21046 20079 20023 19113 19095 19087 19013 18108 18064 17129 17123 17065 17045 16150 16129 16120 15072 14151 14131 14083 14066 14013 14008 13140 13099 13084 13071 12153 12093 12091 12067 12057 12004 11118 11102 11090 11073 11070 11042 10086 09117 09116 09069 09039 08154 08135 08034 08032 07140 07129 07087 07057 07012 07002 06116 06072 06063 06021 06020 06013 05153 05152 05135 05061 05054 05006 04103 04099 04081 04078 04057 03063 03061 03054 03014 
5,22,88,22042 22041 22033 22028 21121 21081 21080 21042 20079 20018 19093 19075 19030 18122 18116 18107 18084 18034 17086 17084 17078 17021 17016 16114 16106 16072 16060 16055 16047 16017 15125 15123 15122 15110 15091 15086 15045 15031 15012 14134 14131 14095 14065 13140 13119 13097 13013 12142 12097 12068 12048 12039 12018 12016 11148 11078 11050 10116 10075 10029 10026 10020 09140 08154 08148 08127 08112 08072 08017 08005 07140 07131 07129 07086 07003 07002 06122 06116 06078 06069 06021 05138 05055 05030 04099 04028 04015 03009 
5,23,76,22028 21144 21128 21093 21081 21080 21063 21011 20055 19040 18137 18116 18051 18034 18009 17137 17130 17091 17033 15151 15136 15110 15046 15012 14134 14083 14059 14033 14026 13120 13101 13097 13090 13083 13071 13024 12134 12126 12088 12064 12023 12004 11149 11148 11112 11014 10088 09143 09126 09074 09071 09069 09058 09020 09007 08112 08068 08032 08018 06109 06063 06060 06043 06020 05097 05094 05089 05061 04066 04057 04019 04015 03040 03039 03017 03008 
5,24,74,22041 22004 21102 21080 21063 20114 20085 20060 20016 19104 19097 19081 19017 18130 18084 18077 17084 17078 17060 17051 17036 17032 17007 16103 16072 16058 15067 15066 14128 14090 14043 13090 12151 12126 12093 12088 12085 12081 12064 12052 12048 12042 12037 12023 11138 11112 11040 10031 10020 09101 09021 08119 08005 07150 07114 07094 07066 07017 07005 06122 06072 06063 06032 05102 05061 04094 04081 04078 04066 04060 04019 03087 03039 03038 
5,25,73,22033 22019 21112 21074 21057 21042 21026 20007 19113 19097 19016 18151 18112 18105 18063 17130 17085 17081 17051 17045 17010 16120 16106 16072 15122 15067 14117 14080 14069 14060 14059 13141 13121 13097 12151 12149 12100 12081 12016 11153 11148 11132 11111 11090 10118 10057 10041 10031 10025 09116 09109 09081 09057 09007 08005 07082 07050 07017 07008 06061 05136 05135 05130 05034 05032 04094 04076 04066 04057 04017 03038 03018 03017 
5,26,81,22033 21144 21140 21044 21027 20125 20056 20028 19143 19006 18151 18112 18108 18034 18009 17154 17137 17081 17060 17007 17004 16140 16060 16055 16043 15031 15027 14134 14118 13119 13099 13078 13071 13044 13019 12151 12149 12145 12068 12067 12018 11148 11092 11040 11024 11014 10131 10116 10071 10020 09145 09128 09117 09071 09063 09058 09007 08154 08148 08086 08069 08061 08044 08018 07140 07115 07012 06109 06032 06020 06009 05153 05096 05089 05005 04099 04078 04074 04021 04003 03086 
5,27,95,21147 21140 21117 21102 21090 21074 21042 21038 21011 20116 20081 20073 20031 20016 19096 19094 19081 19021 18142 18051 18044 17151 17149 17036 17032 17016 17004 16132 16114 16103 16007 15134 15129 15125 15124 15113 14151 14144 14091 13144 13129 13121 13101 13078 13036 13024 12153 12145 12141 12088 12057 11111 11102 11052 10094 10088 09139 09116 09039 09021 09018 08144 08128 08127 08105 08086 08068 08026 07131 07130 07125 07116 07114 07090 07086 07013 07003 06073 06059 06028 06011 05152 05136 05129 05097 05094 05047 05024 04081 04060 04021 03067 03039 03038 03025 
5,28,89,22004 21147 21122 21112 21093 21090 21084 21046 21044 20129 20055 19117 19095 19017 19006 18142 18130 18116 18096 17134 17132 17099 17091 17010 16132 16120 16110 15136 15132 15123 15066 15037 14134 14131 14129 14117 14109 14033 13071 13044 13033 13016 13013 12154 12153 12145 12142 12118 12104 12042 12037 12014 11138 11123 11087 11070 11052 11050 11040 10113 10086 10031 09143 09134 09109 09074 09012 08148 08142 08136 08105 08032 07073 07020 07012 06113 06055 06054 06008 05097 05034 05030 05005 04060 04057 04018 03087 03061 03018 
5,29,59,22041 22028 22016 21080 21070 20079 20073 20011 19081 18151 18088 17111 17099 17091 17016 16114 16060 16007 15136 15027 15012 14117 14091 14054 14008 13090 13036 12146 12142 12128 12081 12039 11078 11050 10120 10086 10041 09144 09139 09081 08144 08119 08068 08044 08034 08026 07093 07086 07013 06073 06071 06069 06059 06055 06020 05153 05054 05032 04074 
5,30,79,22042 22004 22003 21121 21102 21032 20125 20114 20099 20060 20055 20023 19087 19017 19010 18122 18108 18088 18057 18044 17149 17097 17085 17081 17033 17010 17004 16106 16104 16102 16043 16017 15132 15125 15045 14118 14080 14069 14054 14025 14008 13141 13024 12128 12085 12067 12048 12014 10088 10086 10008 09081 09063 09018 08127 08086 08072 08069 08065 08012 07129 07090 07005 06087 06069 06061 06060 06054 06009 05097 05083 05057 05055 05016 04018 03086 03059 03011 03009 
5,31,79,22016 20125 20056 20007 19097 19081 19075 19040 18112 18087 18051 17137 17130 17123 17097 17060 17032 16129 16110 16104 16024 15151 15134 15091 15072 15067 15046 15045 15037 15012 14095 14010 13144 13141 13129 13120 13099 13036 12142 12128 12088 12085 12057 11149 11102 11092 11024 10094 10086 09117 09114 09102 09071 08065 08061 07130 07090 07073 07020 06105 06078 06071 06055 06032 06011 05124 05109 05102 05089 05057 05024 05006 04076 04032 04017 03067 03054 03017 03014 
